Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
20220322-6980-4F39B5024567_Coerce_Arrest,2022-03-22,Coerce,-7.0,Material Conflict,,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-03-22,English,Ngec_Coder-Vers001-B1-Run-001
20220322-1067-9994C9A70E9F_Threaten,2022-03-22,Threaten,-3.5,Verbal Conflict,,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-03-22,English,Ngec_Coder-Vers001-B1-Run-001
20220322-3529-887Fe02C92F0_Accuse,2022-03-22,Accuse,-3.0,Verbal Conflict,,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-03-22,English,Ngec_Coder-Vers001-B1-Run-001
20220323-9934-E7D68168Eb65_Coerce_Censor,2022-03-23,Coerce,-6.5,Material Conflict,Intelligence | Human_Security | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,Member Of Isil,RUS,Norilsk,2022-03-23,English,Ngec_Coder-Vers001-B1-Run-001
20220414-8944-516Ea0D520Eb_Coerce_Arrest,2022-04-14,Coerce,-7.0,Material Conflict,Health,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexey Navalny,RUS,Moscow,2022-04-14,English,Ngec_Coder-Vers001-B1-Run-001
20220414-8944-516Ea0D520Eb_Accuse,2022-04-14,Accuse,-3.0,Verbal Conflict,Health,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexey Navalny,RUS,Moscow,2022-04-14,English,Ngec_Coder-Vers001-B1-Run-001
20220418-6770-8816F1Cf958F_Sanction_Convict,2022-04-18,Sanction,-6.0,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,Isil,RUS,Karachayevo - Cherkessia,2022-04-18,English,Ngec_Coder-Vers001-B1-Run-001
20220425-1862-Ccbb49556Ecb_Accuse,2022-04-25,Accuse,-3.0,Verbal Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220425-1862-Ccbb49556Ecb_Coerce_Arrest,2022-04-25,Coerce,-7.0,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220425-1862-Ccbb49556Ecb_Coerce_Censor,2022-04-25,Coerce,-6.5,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220425-8084-47D1C959C5C3_Coerce_Censor,2022-04-25,Coerce,-6.5,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220425-8084-47D1C959C5C3_Accuse,2022-04-25,Accuse,-3.0,Verbal Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220425-8084-47D1C959C5C3_Coerce_Arrest,2022-04-25,Coerce,-7.0,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Stavropol Territory,2022-04-25,English,Ngec_Coder-Vers001-B1-Run-001
20220429-7911-463052F8Afa8_Coerce_Arrest,2022-04-29,Coerce,-7.0,Material Conflict,Intelligence | Human_Security | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,A Follower Of The Isil Terrorist Organization,RUS,Karachayevo - Cherkessia,2022-04-29,English,Ngec_Coder-Vers001-B1-Run-001
20220510-6680-A8Aacef540Ff_Accuse,2022-05-10,Accuse,-3.0,Verbal Conflict,Military,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin Has Claimed Russia,RUS,Moscow,2022-05-10,English,Ngec_Coder-Vers001-B1-Run-001
20220524-1018-2Ed990F4F8Cb_Coerce_Arrest,2022-05-24,Coerce,-7.0,Material Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-05-24,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220524-1324-16294817Dd6E_Accuse,2022-05-24,Accuse,-3.0,Verbal Conflict,Election,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-05-24,English,Ngec_Coder-Vers001-B1-Run-001
20220524-2553-B2Fcd7955Aa3_Coerce_Arrest,2022-05-24,Coerce,-7.0,Material Conflict,,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-05-24,English,Ngec_Coder-Vers001-B1-Run-001
20220524-1018-2Ed990F4F8Cb_Request,2022-05-24,Request,0.0,Verbal Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-05-24,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220524-1018-2Ed990F4F8Cb_Accuse,2022-05-24,Accuse,-3.0,Verbal Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Alexei Navalny,Russia,Leader Of The Opposition,Alexei Navalny,RUS,Moscow,2022-05-24,Arabic,Ngec_Coder-Vers001-B1-Run-001
20220526-9923-63936F5F78Aa_Aid,2022-05-26,Aid,10.0,Material Cooperation,Terrorism,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Russian Federation; Antigua; Barbuda,2022-05-26,Russian,Ngec_Coder-Vers001-B1-Run-001
20220610-3986-89285Bf3D8A1_Sanction,2022-06-10,Sanction,-6.0,Material Conflict,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Far East,2022-06-10,Russian,Ngec_Coder-Vers001-B1-Run-001
20220625-1837-6B32E06879Fe_Request,2022-06-25,Request,0.0,Verbal Conflict,,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,St. Petersburg,2022-06-25,Russian,Ngec_Coder-Vers001-B1-Run-001
20220625-7961-814Cb829C9Ac_Retreat,2022-06-25,Retreat,6.5,Material Cooperation,Military,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,Russia,2022-06-25,English,Ngec_Coder-Vers001-B1-Run-001
20220625-8322-7Ab9F9Dc971C_Aid,2022-06-25,Aid,10.0,Material Cooperation,Military,Vladimir Putin,Russia,President,Putin Russia,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,St. Petersburg,2022-06-25,English,Ngec_Coder-Vers001-B1-Run-001
20220626-2564-8Bd40846Def9_Request,2022-06-26,Request,0.0,Verbal Conflict,Military,Vladimir Putin,Russia,President,Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,St Petersburg,2022-06-26,English,Ngec_Coder-Vers001-B1-Run-001
20220727-1150-B021E95E1701_Aid,2022-07-27,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Recep Tayyip Erdoğan,Turkey,President,Turkish President Recep Tayyip Erdogan,RUS,Sochi,2022-07-27,Russian,Ngec_Coder-Vers001-B1-Run-001
20220802-2782-5589Fce9A008_Aid,2022-08-02,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Recep Tayyip Erdoğan,Turkey,President,Recep Tayyip Erdogan,RUS,Sochi,2022-08-02,English,Ngec_Coder-Vers001-B1-Run-001
20220805-2452-59A5542Ed4C3_Aid,2022-08-05,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Vladimir Putin,Recep Tayyip Erdoğan,Turkey,President,Recep Tayyip Erdogan,RUS,Sochi,2022-08-05,English,Ngec_Coder-Vers001-B1-Run-001
20220821-7096-6B6A5E836743_Assault_Targeted,2022-08-21,Assault,-10.0,Material Conflict,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Daughter Of A Right - Wing Ideologue Linked To Russian President Vladimir Putin,RUS,Near Moscow,2022-08-21,English,Ngec_Coder-Vers001-B1-Run-001
20220822-5496-7D604Ffd022C_Coerce_Censor,2022-08-22,Coerce,-6.5,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Russia 'S Federal Security Service,Islamic State,,Salafi Jihadist,Islamic State,RUS,Russia,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220822-0336-982C1F3Ebc6F_Coerce_Censor,2022-08-22,Coerce,-6.5,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Russian Federal Security Service,Islamic State,,Salafi Jihadist,Isil,RUS,Russia,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220822-1413-Fe7C2984E06E_Coerce_Censor,2022-08-22,Coerce,-6.5,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,Islamic State,RUS,Moscow,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220822-1413-Fe7C2984E06E_Accuse,2022-08-22,Accuse,-3.0,Verbal Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,Islamic State,RUS,Moscow,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220822-0336-982C1F3Ebc6F_Coerce_Arrest,2022-08-22,Coerce,-7.0,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Russian Federal Security Service,Islamic State,,Salafi Jihadist,Isil Terrorist,RUS,Russia,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220822-1413-Fe7C2984E06E_Coerce_Arrest,2022-08-22,Coerce,-7.0,Material Conflict,Intelligence | Terrorism,Federal Security Service,Russia,Public Security Bureau,Federal Security Service,Islamic State,,Salafi Jihadist,Suicide Bomber Of The Islamic State,RUS,Moscow,2022-08-22,English,Ngec_Coder-Vers001-B1-Run-001
20220907-8362-35D0D9C18E51_Accuse,2022-09-07,Accuse,-3.0,Verbal Conflict,Military,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Vladivostok,2022-09-07,English,Ngec_Coder-Vers001-B1-Run-001
20220907-8362-35D0D9C18E51_Coerce,2022-09-07,Coerce,-7.0,Material Conflict,Military,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Vladivostok,2022-09-07,English,Ngec_Coder-Vers001-B1-Run-001
20220907-7431-E92D74E867A5_Accuse,2022-09-07,Accuse,-3.0,Verbal Conflict,,Vladimir Putin,Russia,President,Putin,Recep Tayyip Erdoğan,Turkey,President,Recep Tayyip Erdogan,RUS,Vladivostok,2022-09-07,English,Ngec_Coder-Vers001-B1-Run-001
20220923-7084-D22Fbe07F255_Protest_Demo,2022-09-23,Protest,-5.0,Material Conflict,Military,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Saint Petersburg,2022-09-23,English,Ngec_Coder-Vers001-B1-Run-001
20220923-3473-D22Fbe07F255_Protest_Demo,2022-09-23,Protest,-5.0,Material Conflict,Military,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Saint Petersburg,2022-09-23,English,Ngec_Coder-Vers001-B1-Run-001
20220926-8762-C746F50D18E3_Aid,2022-09-26,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,Sochi,2022-09-26,English,Ngec_Coder-Vers001-B1-Run-001
20220927-4405-E9E925405Ebb_Aid,2022-09-27,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Belarus Alexander Lukashenko,RUS,Sochi,2022-09-27,Russian,Ngec_Coder-Vers001-B1-Run-001
20221007-6272-Bb23222Da928_Accuse,2022-10-07,Accuse,-3.0,Verbal Conflict,Intelligence | Human_Security | Terrorism,Federal Security Service,Russia,Public Security Bureau,Russian Federal Security Service,Islamic State,,Salafi Jihadist,Isil Terrorist Organization,RUS,Stavropol Territory,2022-10-07,English,Ngec_Coder-Vers001-B1-Run-001
20221013-6341-1E5Ef6463Dfc_Accuse,2022-10-13,Accuse,-3.0,Verbal Conflict,Military,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Moscow,2022-10-13,English,Ngec_Coder-Vers001-B1-Run-001
20221125-2690-892E7870E48E_Request,2022-11-25,Request,0.0,Verbal Conflict,Military | Intelligence,Vladimir Putin,Russia,President,Vladimir Putin,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Russia,2022-11-25,Russian,Ngec_Coder-Vers001-B1-Run-001
20221227-6532-90Ec35473021_Request,2022-12-27,Request,0.0,Verbal Conflict,,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,St. Petersburg,2022-12-27,Russian,Ngec_Coder-Vers001-B1-Run-001
20221230-3889-3Bb89847Eae9_Aid,2022-12-30,Aid,10.0,Material Cooperation,Military | Election,Vladimir Putin,Russia,President,President Vladimir Putin,Recep Tayyip Erdoğan,Turkey,President,President Recep Tayyip Erdogan,RUS,Moscow,2022-12-30,Arabic,Ngec_Coder-Vers001-B1-Run-001
20230217-1417-F40E07B148E3_Aid,2023-02-17,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lekashenko,RUS,Moscow,2023-02-17,Russian,Ngec_Coder-Vers001-B1-Run-001
20230306-7501-00C2F7305C5F_Accuse,2023-03-06,Accuse,-3.0,Verbal Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-03-06,English,Ngec_Coder-Vers001-B1-Run-001
20230317-7956-C295Da8297A5_Aid,2023-03-17,Aid,10.0,Material Cooperation,Diplomatic,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Russia,2023-03-17,English,Ngec_Coder-Vers001-B1-Run-001
20230318-3016-94Fa2Da2F0C9_Sanction,2023-03-18,Sanction,-6.0,Material Conflict,,Vladimir Putin,Russia,President,Russian Dictator Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Russia,2023-03-18,Russian,Ngec_Coder-Vers001-B1-Run-001
20230320-6682-E03D28785Aac_Aid,2023-03-20,Aid,10.0,Material Cooperation,Election,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-4706-49A1F6D99D30_Request,2023-03-20,Request,0.0,Verbal Conflict,,Xi Jinping,China,Communist Party,Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-3400-C8F5709503Ce_Aid,2023-03-20,Aid,10.0,Material Cooperation,Election,Xi Jinping,China,Communist Party,Chinese Leader Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Kremlin,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-5288-216Be089F684_Aid,2023-03-20,Aid,10.0,Material Cooperation,Diplomatic,Vladimir Putin,Russia,President,Russian President Vladimir Putin,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-0703-D7E7D0Cea0B8_Aid,2023-03-20,Aid,10.0,Material Cooperation,,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-8667-Ee41Edc68077_Aid,2023-03-20,Aid,10.0,Material Cooperation,,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-6518-E3A07036C918_Aid,2023-03-20,Aid,10.0,Material Cooperation,Election,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230320-1029-4F6337241Df6_Aid,2023-03-20,Aid,10.0,Material Cooperation,,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-20,English,Ngec_Coder-Vers001-B1-Run-001
20230321-5635-01681650266A_Aid,2023-03-21,Aid,10.0,Material Cooperation,Election,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Kremlin,2023-03-21,Russian,Ngec_Coder-Vers001-B1-Run-001
20230321-9202-Df8E48Cc0051_Aid,2023-03-21,Aid,10.0,Material Cooperation,,Xi Jinping,China,Communist Party,Chinese President Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-21,English,Ngec_Coder-Vers001-B1-Run-001
20230322-8339-Fe5E8F56894D_Request,2023-03-22,Request,0.0,Verbal Conflict,,Xi Jinping,China,Communist Party,Chinese Leader Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Russia,2023-03-22,English,Ngec_Coder-Vers001-B1-Run-001
20230322-8315-F8D6Ba709B46_Aid,2023-03-22,Aid,10.0,Material Cooperation,Human_Security,Xi Jinping,China,Communist Party,President Xi Jinping,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Moscow,2023-03-22,Chinese,Ngec_Coder-Vers001-B1-Run-001
20230323-5981-B7C1D9A85A99_Cooperate,2023-03-23,Cooperate,9.5,Material Cooperation,,Xi Jinping,China,Communist Party,Xi Jinping,Vladimir Putin,Russia,President,Russian President Vladimir Putin,RUS,Russia,2023-03-23,English,Ngec_Coder-Vers001-B1-Run-001
20230325-3134-B2087B1Bc165_Aid,2023-03-25,Aid,10.0,Material Cooperation,,Vladimir Putin,Russia,President,Vladimir Putin,Recep Tayyip Erdoğan,Turkey,President,Turkish President Tayyip Erdogan,RUS,Russia,2023-03-25,English,Ngec_Coder-Vers001-B1-Run-001
20230326-8542-63Ab4Ecf2762_Request,2023-03-26,Request,0.0,Verbal Conflict,,Xi Jinping,China,Communist Party,Xi Jinping,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-03-26,English,Ngec_Coder-Vers001-B1-Run-001
20230404-8766-C4Afb34Ffc7B_Request,2023-04-04,Request,0.0,Verbal Conflict,,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,Vladimir Putin,Russia,President,Vladimir Putin,RUS,Moscow,2023-04-04,English,Ngec_Coder-Vers001-B1-Run-001
20230405-4237-973B448D1F0D_Request,2023-04-05,Request,0.0,Verbal Conflict,,Vladimir Putin,Russia,President,Vladimir Putin,Alexander Lukashenko,Belarus,Chief Of State,Alexander Lukashenko,RUS,Moscow,2023-04-05,English,Ngec_Coder-Vers001-B1-Run-001
20230417-1309-3116Adaedcd0_Accuse,2023-04-17,Accuse,-3.0,Verbal Conflict,,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-1697-991A92Ae49Ee_Coerce_Arrest,2023-04-17,Coerce,-7.0,Material Conflict,Military | Diplomatic,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-7895-D2Cb5Bee1870_Coerce,2023-04-17,Coerce,-7.0,Material Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,French,Ngec_Coder-Vers001-B1-Run-001
20230417-2470-1C3B76B69D89_Accuse,2023-04-17,Accuse,-3.0,Verbal Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-5786-Eb1Fffbe1503_Coerce_Arrest,2023-04-17,Coerce,-7.0,Material Conflict,Military | Human_Rights,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-1697-991A92Ae49Ee_Accuse,2023-04-17,Accuse,-3.0,Verbal Conflict,Military | Diplomatic,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-1099-F4F5560130Db_Accuse,2023-04-17,Accuse,-3.0,Verbal Conflict,,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-9594-4F3C7F15B8Ca_Coerce_Arrest,2023-04-17,Coerce,-7.0,Material Conflict,Military | Human_Rights,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-3752-1714A5Abb835_Sanction_Convict,2023-04-17,Sanction,-6.0,Material Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-3682-91D840527C73_Accuse,2023-04-17,Accuse,-3.0,Verbal Conflict,,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-0813-434Ce25C6243_Coerce_Arrest,2023-04-17,Coerce,-7.0,Material Conflict,Military | Human_Rights,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,English,Ngec_Coder-Vers001-B1-Run-001
20230417-2940-77C9Fdc1Dc39_Coerce,2023-04-17,Coerce,-7.0,Material Conflict,Military,Moscow,Russia,Capital City,Moscow Court,Vladimir Kara-Murza,Russia,Chief Of Staff,Vladimir Kara - Murza,RUS,Moscow,2023-04-17,Arabic,Ngec_Coder-Vers001-B1-Run-001
