,Unnamed: 0.1,Unnamed: 0,Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
12,12,12,20220105-7284-65B3Eba369C4_Retreat,2022-01-05,Retreat,6.5,Material Cooperation,Election,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
13,13,13,20220105-9860-66C527A709E5_Concede,2022-01-05,Concede,4.5,Verbal Cooperation,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
14,14,14,20220105-9860-66C527A709E5_Mobilize,2022-01-05,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
15,15,15,20220105-5020-D503D04Dec2B_Mobilize,2022-01-05,Mobilize,-5.5,Material Conflict,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
16,16,16,20220105-1569-4Ebc723C8Cce_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modis,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
17,17,17,20220105-3302-7D558B9Ea134_Accuse,2022-01-05,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-05,English,Ngec_Coder-Vers001-B1-Run-001
18,18,18,20220106-0634-Af93C8B33D98_Mobilize,2022-01-06,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,"['[""[\'DL\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
19,19,19,20220106-7337-48157Bfcf00D_Sanction,2022-01-06,Sanction,-6.0,Material Conflict,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,"['[""[\'UP\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
20,20,20,20220106-1784-5F98F9313C5F_Protest,2022-01-06,Protest,-5.0,Material Conflict,Health,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Congee,,Diet,Congress,IND,"['[""[\'UP\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
21,21,21,20220106-4410-867E023C77F0_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,,Ashok Gehlot,India,Chief Minister,Ashok Gehlot,Narendra Modi,India,Prime Minister,Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
22,22,22,20220106-0874-Ca93Dafc26E8_Protest,2022-01-06,Protest,-5.0,Material Conflict,Health,Congee,,Diet,Opposition Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'KA\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
23,23,23,20220106-7861-4Dd153B4Ee12_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'PB\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
24,24,24,20220106-7861-4Dd153B4Ee12_Assault,2022-01-06,Assault,-9.0,Material Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'PB\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
25,25,25,20220106-9631-79D56Eaa36Aa_Accuse,2022-01-06,Accuse,-3.0,Verbal Conflict,Health,Allahabad High Court,India,High Court,Allahabad High Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
26,26,26,20220106-0634-Af93C8B33D98_Concede,2022-01-06,Concede,4.5,Verbal Cooperation,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-01-06,English,Ngec_Coder-Vers001-B1-Run-001
27,27,27,20220107-7931-193A66D2766E_Sanction,2022-01-07,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
28,28,28,20220107-5665-Cc3A8F1A07F2_Concede,2022-01-07,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
29,29,29,20220107-1555-F6Aef0D73810_Accuse,2022-01-07,Accuse,-3.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
30,30,30,20220107-8345-0Eebf94Aed72_Assault,2022-01-07,Assault,-9.0,Material Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp Government,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
31,31,31,20220107-7931-193A66D2766E_Concede,2022-01-07,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
32,32,32,20220107-1555-F6Aef0D73810_Request,2022-01-07,Request,0.0,Verbal Conflict,,Supreme Court Of The United Kingdom,United Kingdom,Court Of Appeals,The Supreme Court,Supreme Court,,Court Supreme,Supreme Court,IND,"['[""[\'PB\']""]']",2022-01-07,English,Ngec_Coder-Vers001-B1-Run-001
33,33,33,20220108-3546-410241220Ad8_Protest,2022-01-08,Protest,-5.0,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Narendra Modi,India,Prime Minister,Prime Minister ( Pm ) Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-08,English,Ngec_Coder-Vers001-B1-Run-001
34,34,34,20220108-1977-6A7D6365D85E_Protest,2022-01-08,Protest,-5.0,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Narendra Modi,India,Prime Minister,Prime Minister ( Pm ) Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-08,English,Ngec_Coder-Vers001-B1-Run-001
35,35,35,20220108-1643-Db3B4D081B6A_Accuse,2022-01-08,Accuse,-3.0,Verbal Conflict,Illegal_Drugs,Punjab,Pakistan,Region,Punjab Police Special Investigation Team,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-08,English,Ngec_Coder-Vers001-B1-Run-001
36,36,36,20220108-3419-4B955D649416_Accuse,2022-01-08,Accuse,-3.0,Verbal Conflict,Illegal_Drugs,Punjab,Pakistan,Region,Punjab Police Special Investigation Team,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-08,English,Ngec_Coder-Vers001-B1-Run-001
37,37,37,20220108-1398-6E00912223Ff_Accuse,2022-01-08,Accuse,-3.0,Verbal Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'KA\']""]']",2022-01-08,English,Ngec_Coder-Vers001-B1-Run-001
38,38,38,20220109-3168-C7D49A7A132F_Sanction,2022-01-09,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-09,English,Ngec_Coder-Vers001-B1-Run-001
39,39,39,20220110-4801-3E0A5B7A9Fde_Request,2022-01-10,Request,0.0,Verbal Conflict,,Supreme Court Of The United Kingdom,United Kingdom,Court Of Appeals,The Supreme Court,Supreme Court,,Court Supreme,Supreme Court,IND,"['[""[\'UK\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
40,40,40,20220110-9426-50B29B99Cb9B_Sanction_Convict,2022-01-10,Sanction,-6.0,Material Conflict,Election,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
41,41,41,20220110-1970-D20Cf3Eaec6B_Threaten,2022-01-10,Threaten,-3.5,Verbal Conflict,,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
42,42,42,20220110-9426-50B29B99Cb9B_Concede,2022-01-10,Concede,4.5,Verbal Cooperation,Election,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
43,43,43,20220110-6256-4773308D32E1_Accuse,2022-01-10,Accuse,-3.0,Verbal Conflict,Human_Security,Delhi High Court,India,High Court,Delhi High Court,Government Of Delhi,India,Central Jail Authority,Delhi Government,IND,"['[""[\'DL\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
44,44,44,20220110-6052-67E92Bd33318_Accuse,2022-01-10,Accuse,-3.0,Verbal Conflict,Human_Security,Delhi High Court,India,High Court,Delhi High Court,Government Of Delhi,India,Central Jail Authority,Delhi Government,IND,"['[""[\'DL\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
45,45,45,20220110-7173-9Bac2C72D44B_Accuse,2022-01-10,Accuse,-3.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Gujarat,India,Government,Gujarat Government,IND,"['[""[\'GJ\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
46,46,46,20220110-9426-50B29B99Cb9B_Mobilize_Police,2022-01-10,Mobilize,-5.5,Material Conflict,Election,Punjab,Pakistan,Region,Punjab Police,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\']""]']",2022-01-10,English,Ngec_Coder-Vers001-B1-Run-001
47,47,47,20220111-2798-Eda24Ed92Da6_Mobilize,2022-01-11,Mobilize,-5.5,Material Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,IND,"['[""[\'UP\']""]']",2022-01-11,English,Ngec_Coder-Vers001-B1-Run-001
48,48,48,20220111-4374-Ae95581760A0_Accuse,2022-01-11,Accuse,-3.0,Verbal Conflict,,Keshav Prasad Maurya,India,Deputy Prime Minister,Keshav Prasad Maurya,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,"['[""[\'UP\']""]']",2022-01-11,English,Ngec_Coder-Vers001-B1-Run-001
49,49,49,20220112-9654-C8Cb5A58E617_Request,2022-01-12,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttarakhand,India,Government,Uttarakhand Government,IND,"['[""[\'BR\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
50,50,50,20220112-5407-097312D4735A_Request,2022-01-12,Request,0.0,Verbal Conflict,Election | Religion_Ethnicity,Bharatiya Janata Party,India,Political Party,Bjp 'S Minority Wing,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
51,51,51,20220112-7235-9A1332188F39_Accuse,2022-01-12,Accuse,-3.0,Verbal Conflict,Religion_Ethnicity,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttarakhand,India,Government,Uttarakhand Government,IND,"['[""[\'UK\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
52,52,52,20220112-5374-145524C2A66D_Accuse,2022-01-12,Accuse,-3.0,Verbal Conflict,,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
53,53,53,20220112-3969-740Ba008145D_Request,2022-01-12,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttarakhand,India,Government,Uttarakhand Government,IND,"['[""[\'BR\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
54,54,54,20220112-8244-7A3F48974630_Accuse,2022-01-12,Accuse,-3.0,Verbal Conflict,Religion_Ethnicity,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttarakhand,India,Government,Uttarakhand Government,IND,"['[""[\'UK\']""]']",2022-01-12,English,Ngec_Coder-Vers001-B1-Run-001
55,55,55,54394423_Consult,2022-01-13,Consult,2.5,Verbal Cooperation,Election,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party 'S Central Election Committee,IND,"['[""[\'UP\']""]']",2022-01-13,English,Ngec_Coder-Vers001-B1-Run-001
56,56,56,20220114-0041-3Ffa0C51Ba61_Assault,2022-01-14,Assault,-9.0,Material Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
57,57,57,20220114-9038-522048Ebc844_Accuse,2022-01-14,Accuse,-3.0,Verbal Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
58,58,58,20220114-6811-0743220Bb0F0_Accuse,2022-01-14,Accuse,-3.0,Verbal Conflict,,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Bharatiya Janata Party,India,Political Party,Bjp Government,IND,"['[""[\'UP\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
59,59,59,20220114-9038-522048Ebc844_Assault,2022-01-14,Assault,-9.0,Material Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
60,60,60,20220114-0041-3Ffa0C51Ba61_Protest,2022-01-14,Protest,-5.0,Material Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
61,61,61,20220114-1247-6Ca443Edca10_Threaten,2022-01-14,Threaten,-3.5,Verbal Conflict,Election,Calcutta High Court,India,High Court,Calcutta High Court,West Bengal State Election Commission,,Government Organization,West Bengal Election Commission,IND,"['[""[\'WB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
62,62,62,20220114-1247-6Ca443Edca10_Request,2022-01-14,Request,0.0,Verbal Conflict,Election,Calcutta High Court,India,High Court,Calcutta High Court,West Bengal State Election Commission,,Government Organization,West Bengal Election Commission,IND,"['[""[\'WB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
63,63,63,20220114-0041-3Ffa0C51Ba61_Accuse,2022-01-14,Accuse,-3.0,Verbal Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
64,64,64,20220114-9038-522048Ebc844_Protest,2022-01-14,Protest,-5.0,Material Conflict,Military | Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Congee,,Diet,Congress Government,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
65,65,65,20220114-0322-4Edceaf2F0Db_Threaten,2022-01-14,Threaten,-3.5,Verbal Conflict,Election,Calcutta High Court,India,High Court,Calcutta High Court,West Bengal State Election Commission,,Government Organization,West Bengal Election Commission,IND,"['[""[\'WB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
66,66,66,20220114-0322-4Edceaf2F0Db_Request,2022-01-14,Request,0.0,Verbal Conflict,Election,Calcutta High Court,India,High Court,Calcutta High Court,West Bengal State Election Commission,,Government Organization,West Bengal Election Commission,IND,"['[""[\'WB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
67,67,67,20220114-6273-A456B3Ce7Ea0_Mobilize,2022-01-14,Mobilize,-5.5,Material Conflict,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Arvind Kejriwal,India,Chief Minister,Arvind Kejriwal,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
68,68,68,20220114-1999-Dd1Ea030F5Aa_Accuse,2022-01-14,Accuse,-3.0,Verbal Conflict,,Manish Sisodia,India,Deputy Prime Minister,Manish Sisodia,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'CG\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
69,69,69,20220114-9952-A12382580917_Protest,2022-01-14,Protest,-5.0,Material Conflict,Election,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,Arvind Kejriwal,India,Chief Minister,Arvind Kejriwal,IND,"['[""[\'PB\']""]']",2022-01-14,English,Ngec_Coder-Vers001-B1-Run-001
70,70,70,20220116-4952-D1Af1E4Db1E7_Request,2022-01-16,Request,0.0,Verbal Conflict,Military,Mamata Banerjee,India,"Previously Held A Gov Role, So Coded As Eli",Mamata Banerjee,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'WB\']""]']",2022-01-16,English,Ngec_Coder-Vers001-B1-Run-001
71,71,71,20220116-3340-E3Cd78A2701B_Accuse,2022-01-16,Accuse,-3.0,Verbal Conflict,,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-01-16,English,Ngec_Coder-Vers001-B1-Run-001
72,72,72,20220116-2873-E7F1153Fe416_Accuse,2022-01-16,Accuse,-3.0,Verbal Conflict,Health,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-01-16,English,Ngec_Coder-Vers001-B1-Run-001
73,73,73,20220117-8959-Ea138F148Eb4_Accuse,2022-01-17,Accuse,-3.0,Verbal Conflict,Election | Health,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-01-17,English,Ngec_Coder-Vers001-B1-Run-001
74,74,74,20220117-4171-2984D073Ab5D_Request,2022-01-17,Request,0.0,Verbal Conflict,,M. K. Stalin,India,Chief Minister,Mk Stalin,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'DL\']""]']",2022-01-17,English,Ngec_Coder-Vers001-B1-Run-001
75,75,75,20220117-4428-6A2166Cba02C_Accuse,2022-01-17,Accuse,-3.0,Verbal Conflict,Election | Health,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-01-17,English,Ngec_Coder-Vers001-B1-Run-001
76,76,76,20220118-5303-D47A568Be1Be_Concede,2022-01-18,Concede,4.5,Verbal Cooperation,Health,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
77,77,77,20220118-4182-Ff8Ad3A9E341_Sanction_Convict,2022-01-18,Sanction,-6.0,Material Conflict,Health,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
78,78,78,20220118-3845-Bf679B356301_Request,2022-01-18,Request,0.0,Verbal Conflict,Election,Nitish Kumar,India,Chief Minister,Nitish Kumar,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'DL\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
79,79,79,20220118-7223-8D0532C39667_Request,2022-01-18,Request,0.0,Verbal Conflict,Election,Nitish Kumar,India,Chief Minister,Nitish Kumar,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'DL\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
80,80,80,20220118-9303-6Ca82Fd350Bd_Accuse,2022-01-18,Accuse,-3.0,Verbal Conflict,Election,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'PB\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
81,81,81,20220118-5303-D47A568Be1Be_Retreat,2022-01-18,Retreat,6.5,Material Cooperation,Health,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
82,82,82,20220118-4182-Ff8Ad3A9E341_Retreat,2022-01-18,Retreat,6.5,Material Cooperation,Health,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
83,83,83,20220118-4367-Ca5A8Ccaa3B6_Accuse,2022-01-18,Accuse,-3.0,Verbal Conflict,Election,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'DL\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
84,84,84,20220118-1939-Cbba4Bf8Cc90_Accuse,2022-01-18,Accuse,-3.0,Verbal Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'PB\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
85,85,85,20220118-4182-Ff8Ad3A9E341_Concede,2022-01-18,Concede,4.5,Verbal Cooperation,Health,Punjab; Haryana,Pakistan; India,Region; State,Punjab Court; Haryana Court,Bikram Singh Majithia,India,Barrister,Bikram Singh Majithia,IND,"['[""[\'PB\', \'HR\']""]']",2022-01-18,English,Ngec_Coder-Vers001-B1-Run-001
